Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,CZ,KZ,,1,,live,,Z,C
2012,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,LV,AZ,,,2,live,,Z,W
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,LV,UA,,,1,live,,Z,C
2012,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,MX,PT,2,4,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,IN,,,1,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,NO,,,1,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,HU,HR,,1,1,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NL,HR,,,1,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NZ,AU,,2,,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,ZA,XX,,2,live,,Z,W
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,ZA,,2,,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,SG,ZA,,,2,live,,Z,F
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,CA,US,,1,live,,Z,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,US,CA,,2,2,live,,Z,C
2012,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,SG,CN,,3,3,live,,Z,C
2012,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,ZA,NL,DE,,4,live,,Z,C
2012,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,ZA,NL,PT,,4,live,,Z,C
2012,I,Asarcornis scutulata,Aves,Anseriformes,Anatidae,Asarcornis,ZA,NL,,8,,live,,Z,C
2012,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TR,NL,,2,,live,,Z,F
2012,I,Acrantophis dumerili,Reptilia,Serpentes,Boidae,Acrantophis,TR,NL,,2,,live,,Z,U
2012,I,Acrantophis madagascariensis,Reptilia,Serpentes,Boidae,Acrantophis,UA,RU,,2,2,live,,Z,C
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,ID,CZ,,,1,live,,Z,C
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,3,,live,,Z,F
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BY,EE,,5,,live,,Z,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,EE,UA,,1,1,live,,Z,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MD,EE,,7,7,live,,Z,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,UA,EE,,1,,live,,Z,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,UZ,RU,UZ,2,,live,,Z,C
2012,I,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,UZ,RU,,,2,live,,Z,C
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,ID,PL,,,7,live,,Z,C
2012,I,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,NO,DK,,,4,live,,Z,C
2012,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,AT,CH,,,2,live,,Z,C
2012,I,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,CH,BE,,1,1,live,,Z,C
2012,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,NL,TR,XX,1,,live,,Z,I
2012,I,Buceros bicornis,Aves,Coraciiformes,Bucerotidae,Buceros,NL,TR,XX,,1,live,,Z,U
2012,I,Atelopus zeteki,Amphibia,Anura,Bufonidae,Atelopus,CA,US,,,50,live,,Z,F
2012,I,Nectophrynoides asperginis,Amphibia,Anura,Bufonidae,Nectophrynoides,TZ,US,,,3000,live,,Z,F
2012,I,Cacatua moluccensis,Aves,Psittaciformes,Cacatuidae,Cacatua,FR,SG,,1,1,live,,Z,C
2012,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,RU,FR,,,2,live,,Z,F
2012,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,RU,PH,,2,,live,,Z,F
2012,I,Cacatua sulphurea,Aves,Psittaciformes,Cacatuidae,Cacatua,SG,FR,,2,,live,,Z,C
